1,Одноклеточные,,,,,,,,Растения,,,,,,,,Грибы,,,,,,,,Членистоногие,,,,,,,,Моллюски,,,,,,,,Черви,,,,,,,,Рыбы,,,,,,,,Рептилии,,,,,,,,Птицы,,,,,,,,Млекопитающие,,,,,,,
Индекс планеты,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь
BG7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 1 -4 -1 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 -5 -2 -4,0 0 0 -1 -7 -2 -4,-,-,-,-,-,-,-,-,-,-,3 1 0 1 -4 -1 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,2 3 0 0 -5 -2 -2,5 2 0 0 -2 -2 -4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3 1 -1 1 -4 -1 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,2 0 0 3 -5 0 0,5 3 -2 2 -2 -2 0,-,-,-,-,-,-,-,-,-,-
IM8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KZ1,0 0 -7 -4 0 0 3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 -8 -5 0 0 2,0 0 -9 -6 0 0 1,-,-,0 0 0 -4 4 0 3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -5 3 0 2,0 0 0 -6 0 0 3,-,-,0 0 0 -4 4 0 3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -5 3 -1 2,0 0 0 -6 1 -1 2,-,-,-,-,-,-,-,-,-,-,7 3 0 -4 4 0 3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,6 5 0 -5 3 -1 4,9 4 0 -5 6 -1 2,-,-,7 0 0 0 0 0 3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,6 0 0 0 0 0 4,8 0 0 0 0 0 2,-,-,7 0 -7 -4 4 0 3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,8 0 -8 -5 5 -2 2,5 0 -8 -2 3 1 4,-,-,7 3 -7 0 4 0 3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,5 4 -6 0 5 1 2,8 2 -8 0 3 -1 4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YE7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 2 7 0 0 0 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,5 1 4 0 0 0 -2,0 0 0 -2 -3 -1 -1,-,-,6 2 0 -2 -1 0 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,5 4 0 -3 -2 -1 -2,8 3 0 -3 1 -1 -4,-,-,-,-,-,-,-,-,-,-,6 0 7 -2 -1 0 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,7 0 6 -3 0 -2 -4,4 0 6 0 -2 1 -2,-,-,6 2 7 0 -1 0 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,4 3 8 0 0 1 -4,7 1 6 0 -2 -1 -2,-,-,6 2 7 -2 -1 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,5 1 8 0 -2 1 0,8 4 6 -1 1 -1 0,-,-,-,-,-,-,-,-,-,-
ZT4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OM7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PA4,0 0 -1 -3 0 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 -2 -4 0 0 0,0 0 -3 -5 0 0 -1,144,0 -3 0 -3 0 0 1,0 0 0 -3 -2 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -4 -3 0 0,0 0 0 -5 -6 0 1,210,0 -3 -1 0 -2 0 0,0 0 0 -3 -2 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -4 -3 -3 0,0 0 0 -5 -5 -3 0,240,0 0 0 0 -2 -2 0,0 -3 -1 0 0 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 -4 -4 0 0 0 2,0 0 0 -2 -3 -1 -1,198,0 -3 0 -3 0 0 1,0 -3 0 -3 -2 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 -1 0 -4 -3 -3 2,2 -2 0 -4 0 -3 0,210,0 -3 -1 0 -2 0 0,-,-,-,-,-,-,-,-,0 0 -1 -3 -2 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 0 -2 -4 -1 -4 0,-2 0 -2 -1 -3 -1 2,270,0 0 0 0 -2 -2 0,0 -3 -1 0 -2 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-2 -2 0 0 -1 -1 0,1 -4 -2 0 -3 -3 2,264,0 -3 -1 0 -2 0 0,0 -3 -1 -3 -2 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 -4 0 -1 -3 -1 0,2 -1 -2 -2 0 -3 0,282,0 -3 0 -3 0 0 1,-,-,-,-,-,-,-,-
QR7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TC3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4 -1 3 0 0 0 -5,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,3 -2 0 0 0 0 -4,0 0 0 -2 -3 -1 -1,264,0 -1 0 2 0 0 -5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4 0 3 2 -5 -1 -5,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,5 0 2 1 -4 -3 -6,2 0 2 4 -6 0 -4,360,4 0 0 0 -5 -1 0,-,-,-,-,-,-,-,-,4 -1 3 2 -5 -1 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,3 -2 4 4 -6 0 0,6 1 2 3 -3 -2 0,376,0 -1 0 2 0 0 -5,4 -1 3 2 -5 -1 -5,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,3 0 4 3 -6 -2 -4,2 -3 1 3 -4 -3 -7,400,0 -1 3 0 -5 0 0
TV4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CU6,0 0 1 3 0 0 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 2 0 0 -4,0 0 -1 1 0 0 -5,216,0 -6 0 3 0 0 -3,0 0 0 3 -4 0 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 2 -5 0 -4,0 0 0 1 -8 0 -3,315,0 -6 1 0 -4 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 0 0 0 0 0 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,5 0 0 0 0 0 -2,7 0 0 0 0 0 -4,342,6 0 0 0 -4 -7 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 -6 1 3 -4 -7 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,5 -5 2 4 -5 -8 -2,4 -8 -1 4 -3 -9 -5,450,0 -6 1 0 -4 0 0
ML8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NO0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GR1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HZ2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KA3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MK3,0 0 -2 -3 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 -3 -4 0 0 -1,0 0 -4 -5 0 0 -2,120,0 -5 0 -3 0 0 0,0 0 0 -3 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -4 -1 0 -1,0 0 0 -5 -4 0 0,175,0 -5 -2 0 0 0 0,0 0 0 -3 0 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -4 -1 -3 -1,0 0 0 -5 -3 -3 -1,200,1 0 0 0 0 -2 0,1 -5 -2 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 -6 -5 0 0 0 1,0 0 0 -2 -3 -1 -1,165,0 -5 0 -3 0 0 0,1 -5 0 -3 0 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 -3 0 -4 -1 -3 1,3 -4 0 -4 2 -3 -1,175,0 -5 -2 0 0 0 0,-,-,-,-,-,-,-,-,1 0 -2 -3 0 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,2 0 -3 -4 1 -4 -1,-1 0 -3 -1 -1 -1 1,225,1 0 0 0 0 -2 0,1 -5 -2 0 0 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 -4 -1 0 1 -1 -1,2 -6 -3 0 -1 -3 1,220,0 -5 -2 0 0 0 0,1 -5 -2 -3 0 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 -6 -1 -1 -1 -1 0,3 -3 -3 -2 2 -3 0,235,0 -5 0 -3 0 0 0,-,-,-,-,-,-,-,-
NU9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BZ5,0 0 4 -2 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 3 -3 0 0 -1,0 0 2 -4 0 0 -2,120,0 -3 0 -2 0 0 0,0 0 0 -2 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -3 -1 0 -1,0 0 0 -4 -4 0 0,175,0 -3 4 0 0 0 0,0 0 0 -2 0 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -3 -1 -3 -1,0 0 0 -4 -3 -3 -1,200,2 0 0 0 0 -2 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2 -3 4 0 0 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 -2 5 0 1 -1 -1,3 -4 3 0 -1 -3 1,220,0 -3 4 0 0 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FA0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FV9,0 0 2 2 0 0 -6,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 1 1 0 0 -7,0 0 0 0 0 0 -8,-,-,0 0 0 2 -4 0 -6,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 1 -5 0 -7,0 0 0 0 -8 0 -6,-,-,-,-,-,-,-,-,-,-,0 1 2 0 0 0 -6,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 0 -1 0 0 0 -5,0 0 0 -2 -3 -1 -1,-,-,-,-,-,-,-,-,-,-,0 0 0 0 0 0 -6,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 0 0 0 0 0 -5,1 0 0 0 0 0 -7,-,-,0 0 2 2 -4 -5 -6,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 0 1 1 -3 -7 -7,-2 0 1 4 -5 -4 -5,-,-,0 1 2 0 -4 -5 -6,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-2 2 3 0 -3 -4 -7,1 0 1 0 -5 -6 -5,-,-,0 1 2 2 -4 -5 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 0 3 4 -5 -4 0,2 3 1 3 -2 -6 0,-,-,0 1 2 2 -4 -5 -6,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 2 3 3 -5 -6 -5,-2 -1 0 3 -3 -7 -8,-,-
PS1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
